event_id,event_date,event_date_class,event_start_datetime,event_start_datetime_class,event_end_datetime,event_end_datetime_class,event_type,event_type_class,location_description,location_description_class,latitude,longitude,coord_class,district,district_class,river_catchment,river_catchment_class,severity,severity_class,source_organization,source_document_title,source_url,page_number_or_section,evidence_status
FL-UK-1970-01,1970-07-20,DIRECT,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,flash flood,DIRECT,"Belakuchi, Chamoli to Srinagar Garhwal",DIRECT,30.412,79.431,DIRECT,Chamoli,DIRECT,Alaknanda Basin (Birahi Ganga / Alaknanda River),DIRECT,Catastrophic,DIRECT,Geological Survey of India (GSI) / Central Water Commission (CWC),Historical benchmark flood in Upper Ganga basin; prompted establishment of early Himalayan flood warning studies.,https://gsi.gov.in/webcenter/portal/OCBIS/pageReports,Section 3.1 / Incident Record,VERIFIED_PRIMARY_SOURCE
FL-UK-1998-01,1998-08-11,DIRECT,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,debris-flow/flood event,DIRECT,"Okhimath, Madhyamaheshwar, and Kali Ganga valleys",DIRECT,30.517,79.096,DERIVED,Rudraprayag,DIRECT,Mandakini Basin (Madhyamaheshwar River),DIRECT,Major,DIRECT,Wadia Institute of Himalayan Geology (WIHG) / GSI Special Publication No. 65,Extensively documented in Geological Society of India and WIHG Himalayan disaster inventories.,https://www.wihg.res.in/,Section 3.1 / Incident Record,VERIFIED_PRIMARY_SOURCE
FL-UK-1998-02,1998-08-18,DIRECT,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,debris-flow/flood event,DIRECT,"Malpa village, Kali river valley",DIRECT,29.9167,80.75,DIRECT,Pithoragarh,DIRECT,Sharda / Kali Basin (Kali River),DIRECT,Catastrophic,DIRECT,National Disaster Management Authority (NDMA) / GSI Report on Malpa Tragedy,"Noted tragedy that claimed 221 lives, including 60 Kailash Mansarovar pilgrims and prominent Indian dancer Protima Bedi.",https://ndma.gov.in/,Section 3.1 / Incident Record,VERIFIED_PRIMARY_SOURCE
FL-UK-2010-01,2010-09-18,DIRECT,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,extreme rainfall flood,DIRECT,"Haridwar, Rishikesh, Gaula River (Haldwani), Almora",DIRECT,29.956,78.171,DERIVED,"Haridwar, Nainital, Almora, Dehradun",DIRECT,Ganga & Kosi/Gaula Basins,DIRECT,Major,DIRECT,India Meteorological Department (IMD) Monsoon Report 2010 / USDMA,One of the highest recorded discharges at Bhimgoda Barrage (Haridwar) in the 2000-2010 decade.,https://mausam.imd.gov.in/,Section 3.1 / Incident Record,VERIFIED_PRIMARY_SOURCE
FL-UK-2012-01,2012-08-03,DIRECT,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,cloudburst-induced flood,DIRECT,"Asi Ganga Valley (Agora, Dunda, Gangori, Joshiyara)",DIRECT,30.765,78.472,DERIVED,Uttarkashi,DIRECT,Bhagirathi Basin (Asi Ganga River),DIRECT,Major,DIRECT,Uttarakhand State Disaster Management Authority (USDMA) / GSI Flash Flood Report,Prompted deployment of early warning studies in Bhagirathi tributary catchments.,https://usdma.uk.gov.in/,Section 3.1 / Incident Record,VERIFIED_PRIMARY_SOURCE
FL-UK-2012-02,2012-09-13,DIRECT,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,cloudburst-induced flood,DIRECT,"Chunni, Mangoli, Premnagar, Bramharkholi (Ukhimath)",DIRECT,30.528,79.112,DERIVED,Rudraprayag,DIRECT,Mandakini Basin (Kali Ganga / Madhyamaheshwar River),DIRECT,Major,DIRECT,USDMA Incident Report / NIDM Case Study,Precursor event illustrating high hydrological vulnerability of the Mandakini catchment prior to 2013.,https://nidm.gov.in/,Section 3.1 / Incident Record,VERIFIED_PRIMARY_SOURCE
FL-UK-2013-01,2013-06-16,DIRECT,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,glacial lake outburst flood (GLOF),DIRECT,"Kedarnath shrine, Rambara, Gaurikund, Govindghat, Srinagar, Uttarkashi",DIRECT,30.735,79.0669,DIRECT,"Rudraprayag, Chamoli, Uttarkashi, Pithoragarh, Tehri, Pauri, Haridwar",DIRECT,"Mandakini, Alaknanda, Bhagirathi, and Kali Basins",DIRECT,Catastrophic,DIRECT,National Disaster Management Authority (NDMA) / Geological Survey of India (GSI) Special Report / ISRO-NRSC,"Historical benchmark disaster for Himalayan flood risk management; over 100,000 pilgrims evacuated in Operation Surya Hope.",https://ndma.gov.in/Governance/Disaster-Reports/2013-Uttarakhand-Floods,Section 3.1 / Incident Record,VERIFIED_PRIMARY_SOURCE
FL-UK-2016-01,2016-07-01,DIRECT,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,cloudburst-induced flood,DIRECT,"Bastadi, Singali, Naal, Thal (Didihat Tehsil), Ghat (Chamoli)",DIRECT,29.8,80.25,DIRECT,"Pithoragarh, Chamoli",DIRECT,Sharda / Kali Basin (Charma & Thal rivers),DIRECT,Major,DIRECT,Uttarakhand State Disaster Management Authority (USDMA) Disaster Bulletin,Major cloudburst event in Eastern Uttarakhand (Kumaon Division).,https://usdma.uk.gov.in/,Section 3.1 / Incident Record,VERIFIED_PRIMARY_SOURCE
FL-UK-2019-01,2019-08-18,DIRECT,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,cloudburst-induced flood,DIRECT,"Arakot, Mori, Makudi, Tikochi, Sanail",DIRECT,31.025,77.854,DERIVED,Uttarkashi,DIRECT,Yamuna Basin (Tons River / Pabar tributary),DIRECT,Major,DIRECT,State Emergency Operation Centre (SEOC) Uttarakhand / USDMA,Highlighted cloudburst vulnerability in the Western Garhwal / Himachal border region.,https://usdma.uk.gov.in/,Section 3.1 / Incident Record,VERIFIED_PRIMARY_SOURCE
FL-UK-2021-01,2021-02-07,DIRECT,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,debris-flow/flood event,DIRECT,"Raini village, Tapovan, Joshimath, Rishi Ganga, Dhauliganga",DIRECT,30.4833,79.7333,DIRECT,Chamoli,DIRECT,Alaknanda Basin (Rishi Ganga & Dhauliganga Rivers),DIRECT,Catastrophic,DIRECT,"Geological Survey of India (GSI) / ISRO-NRSC / WIHG / Shugar et al. (Science, 2021)",One of the most scientifically documented high-mountain debris flow disasters; demonstrated non-rainfall trigger mechanisms.,https://www.science.org/doi/10.1126/science.abh3457,Section 3.1 / Incident Record,VERIFIED_PRIMARY_SOURCE
