time,longitude,latitude,rainfall_rate_mm_hr,rainfall_30min_mm
2026-08-27,77.85,28.55,0.0,0.0
2026-08-27,77.85,28.65,0.0,0.0
2026-08-27,77.85,28.75,0.0,0.0
2026-08-27,77.85,28.849998,0.0,0.0
2026-08-27,77.85,28.949999,0.0,0.0
2026-08-27,77.85,29.05,0.0,0.0
2026-08-27,77.85,29.15,0.0,0.0
2026-08-27,77.85,29.25,0.0,0.0
2026-08-27,77.85,29.349998,0.0,0.0
2026-08-27,77.85,29.449999,0.01,0.005
2026-08-27,77.85,29.55,0.099999994,0.049999997
2026-08-27,77.85,29.65,0.97999996,0.48999998
2026-08-27,77.85,29.75,2.2,1.1
2026-08-27,77.85,29.849998,2.6,1.3
2026-08-27,77.85,29.949999,0.98999995,0.49499997
2026-08-27,77.85,30.05,0.14999999,0.074999996
2026-08-27,77.85,30.15,0.099999994,0.049999997
2026-08-27,77.85,30.25,0.099999994,0.049999997
2026-08-27,77.85,30.349998,0.16,0.08
2026-08-27,77.85,30.449999,0.19999999,0.099999994
2026-08-27,77.85,30.55,0.06,0.03
2026-08-27,77.85,30.65,0.0,0.0
2026-08-27,77.85,30.75,0.02,0.01
2026-08-27,77.85,30.849998,0.32999998,0.16499999
2026-08-27,77.85,30.949999,0.45,0.225
2026-08-27,77.85,31.05,0.0,0.0
2026-08-27,77.85,31.15,0.0,0.0
2026-08-27,77.85,31.25,0.0,0.0
2026-08-27,77.85,31.349998,0.0,0.0
2026-08-27,77.85,31.449999,0.0,0.0
2026-08-27,77.95,28.55,0.0,0.0
2026-08-27,77.95,28.65,0.0,0.0
2026-08-27,77.95,28.75,0.0,0.0
2026-08-27,77.95,28.849998,0.0,0.0
2026-08-27,77.95,28.949999,0.0,0.0
2026-08-27,77.95,29.05,0.0,0.0
2026-08-27,77.95,29.15,0.0,0.0
2026-08-27,77.95,29.25,0.0,0.0
2026-08-27,77.95,29.349998,0.06,0.03
2026-08-27,77.95,29.449999,0.32999998,0.16499999
2026-08-27,77.95,29.55,0.59999996,0.29999998
2026-08-27,77.95,29.65,4.61,2.305
2026-08-27,77.95,29.75,4.95,2.475
2026-08-27,77.95,29.849998,4.77,2.385
2026-08-27,77.95,29.949999,2.6699998,1.3349999
2026-08-27,77.95,30.05,0.85999995,0.42999998
2026-08-27,77.95,30.15,0.39999998,0.19999999
2026-08-27,77.95,30.25,0.58,0.29
2026-08-27,77.95,30.349998,0.19,0.095
2026-08-27,77.95,30.449999,0.08,0.04
2026-08-27,77.95,30.55,0.089999996,0.044999998
2026-08-27,77.95,30.65,0.04,0.02
2026-08-27,77.95,30.75,0.02,0.01
2026-08-27,77.95,30.849998,0.099999994,0.049999997
2026-08-27,77.95,30.949999,0.19999999,0.099999994
2026-08-27,77.95,31.05,0.0,0.0
2026-08-27,77.95,31.15,0.0,0.0
2026-08-27,77.95,31.25,0.0,0.0
2026-08-27,77.95,31.349998,0.0,0.0
2026-08-27,77.95,31.449999,0.0,0.0
2026-08-27,78.049995,28.55,0.0,0.0
2026-08-27,78.049995,28.65,0.0,0.0
2026-08-27,78.049995,28.75,0.0,0.0
2026-08-27,78.049995,28.849998,0.0,0.0
2026-08-27,78.049995,28.949999,0.0,0.0
2026-08-27,78.049995,29.05,0.0,0.0
2026-08-27,78.049995,29.15,0.0,0.0
2026-08-27,78.049995,29.25,0.099999994,0.049999997
2026-08-27,78.049995,29.349998,0.38,0.19
2026-08-27,78.049995,29.449999,1.12,0.56
2026-08-27,78.049995,29.55,1.35,0.675
