event_id,source_product,source_version,granule_or_file,observation_start,observation_end,download_status,coverage_status,missing_fraction
FL-UK-1970-01,GPM_3IMERGHH_07,V07B,N/A,1970-07-20T00:00:00,1970-07-20T23:59:59,UNAVAILABLE,PRE_SATELLITE_ERA_UNAVAILABLE,1.0
FL-UK-1998-01,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S000000-E002959.0000.V07B.HDF5,1998-08-11T00:00:00,1998-08-11T00:00:00,SUCCESS,COVERAGE_AVAILABLE,0.0
FL-UK-1998-01,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S040000-E042959.0240.V07B.HDF5,1998-08-11T04:00:00,1998-08-11T04:00:00,SUCCESS,COVERAGE_AVAILABLE,0.0
FL-UK-1998-01,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S080000-E082959.0480.V07B.HDF5,1998-08-11T08:00:00,1998-08-11T08:00:00,SUCCESS,COVERAGE_AVAILABLE,0.0
FL-UK-1998-01,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S120000-E122959.0720.V07B.HDF5,1998-08-11T12:00:00,1998-08-11T12:00:00,SUCCESS,COVERAGE_AVAILABLE,0.0
FL-UK-1998-01,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S160000-E162959.0960.V07B.HDF5,1998-08-11T16:00:00,1998-08-11T16:00:00,SUCCESS,COVERAGE_AVAILABLE,0.0
FL-UK-1998-01,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S200000-E202959.1200.V07B.HDF5,1998-08-11T20:00:00,1998-08-11T20:00:00,SUCCESS,COVERAGE_AVAILABLE,0.0
FL-UK-1998-02,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980818-S000000-E002959.0000.V07B.HDF5,1998-08-18T00:00:00,1998-08-18T00:00:00,SUCCESS,COVERAGE_AVAILABLE,0.0
FL-UK-1998-02,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980818-S040000-E042959.0240.V07B.HDF5,1998-08-18T04:00:00,1998-08-18T04:00:00,SUCCESS,COVERAGE_AVAILABLE,0.0
FL-UK-1998-02,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980818-S080000-E082959.0480.V07B.HDF5,1998-08-18T08:00:00,1998-08-18T08:00:00,SUCCESS,COVERAGE_AVAILABLE,0.0
