event_id,latitude,longitude,elevation,slope,aspect,curvature,flow_accumulation,topographic_wetness_index,stream_power_index,distance_to_stream,drainage_density,source_product,source_version
FL-UK-1970-01,30.412,79.431,1480.0,24.5,195.0,-0.012,12500,8.45,14.2,120.0,1.85,NASA_SRTM_V4_90M,4.1
FL-UK-1998-01,30.517,79.096,1980.0,31.2,210.0,-0.018,8400,7.2,16.8,85.0,2.1,NASA_SRTM_V4_90M,4.1
FL-UK-1998-02,29.9167,80.75,1650.0,28.7,175.0,-0.015,9800,7.65,15.4,95.0,1.95,NASA_SRTM_V4_90M,4.1
FL-UK-2010-01,29.956,78.171,295.0,6.2,140.0,0.002,45000,11.8,6.5,45.0,1.15,NASA_SRTM_V4_90M,4.1
FL-UK-2012-01,30.765,78.472,1150.0,26.8,225.0,-0.014,15200,8.9,14.8,110.0,1.9,NASA_SRTM_V4_90M,4.1
FL-UK-2012-02,30.528,79.112,1420.0,29.5,190.0,-0.017,11000,7.95,15.9,90.0,2.05,NASA_SRTM_V4_90M,4.1
FL-UK-2013-01,30.735,79.0669,3580.0,34.6,180.0,-0.022,6200,6.4,18.5,60.0,2.4,NASA_SRTM_V4_90M,4.1
FL-UK-2016-01,29.8,80.25,1620.0,27.9,165.0,-0.016,10500,7.8,15.2,100.0,1.98,NASA_SRTM_V4_90M,4.1
FL-UK-2019-01,31.025,77.854,1890.0,30.1,205.0,-0.019,7900,7.1,16.2,80.0,2.15,NASA_SRTM_V4_90M,4.1
FL-UK-2021-01,30.4833,79.7333,1970.0,33.4,185.0,-0.021,14000,7.5,17.6,50.0,2.25,NASA_SRTM_V4_90M,4.1
FL-UK-2021-02,29.38,79.45,2080.0,25.4,150.0,-0.011,11800,8.3,13.9,130.0,1.75,NASA_SRTM_V4_90M,4.1
FL-UK-2022-01,30.342,78.134,680.0,22.1,240.0,-0.009,18500,9.2,12.5,150.0,1.65,NASA_SRTM_V4_90M,4.1
FL-UK-2023-01,30.5833,79.0333,1780.0,28.9,195.0,-0.016,9200,7.45,15.6,85.0,2.08,NASA_SRTM_V4_90M,4.1
FL-UK-2023-02,29.746,78.528,840.0,23.5,215.0,-0.01,16800,8.95,13.1,140.0,1.7,NASA_SRTM_V4_90M,4.1
FL-UK-2024-01,30.654,79.052,1920.0,31.8,170.0,-0.02,8100,6.95,17.1,70.0,2.2,NASA_SRTM_V4_90M,4.1
