event_id,event_date,timestamp,latitude,longitude,gfs_forecast_rainfall_mm,gfs_temperature_2m_c,gfs_relative_humidity_pct,gfs_surface_pressure_hpa,gfs_wind_speed_ms,gfs_cape_jkg,source_product,source_version,gfs_coverage_status,missingness
FL-UK-1970-01,1970-07-20,1970-07-20T00:00:00,30.412,79.431,,,,,,,NOAA_GFS_0P25,HISTORICAL_OPERATIONAL,HISTORICAL_VINTAGE_UNAVAILABLE,1.0
FL-UK-1998-01,1998-08-11,1998-08-11T00:00:00,30.517,79.096,,,,,,,NOAA_GFS_0P25,HISTORICAL_OPERATIONAL,HISTORICAL_VINTAGE_UNAVAILABLE,1.0
FL-UK-1998-02,1998-08-18,1998-08-18T00:00:00,29.9167,80.75,,,,,,,NOAA_GFS_0P25,HISTORICAL_OPERATIONAL,HISTORICAL_VINTAGE_UNAVAILABLE,1.0
FL-UK-2010-01,2010-09-18,2010-09-18T00:00:00,29.956,78.171,,,,,,,NOAA_GFS_0P25,HISTORICAL_OPERATIONAL,HISTORICAL_VINTAGE_UNAVAILABLE,1.0
FL-UK-2012-01,2012-08-03,2012-08-03T00:00:00,30.765,78.472,,,,,,,NOAA_GFS_0P25,HISTORICAL_OPERATIONAL,HISTORICAL_VINTAGE_UNAVAILABLE,1.0
FL-UK-2012-02,2012-09-13,2012-09-13T00:00:00,30.528,79.112,,,,,,,NOAA_GFS_0P25,HISTORICAL_OPERATIONAL,HISTORICAL_VINTAGE_UNAVAILABLE,1.0
FL-UK-2013-01,2013-06-16,2013-06-16T00:00:00,30.735,79.0669,,,,,,,NOAA_GFS_0P25,HISTORICAL_OPERATIONAL,HISTORICAL_VINTAGE_UNAVAILABLE,1.0
FL-UK-2016-01,2016-07-01,2016-07-01T00:00:00,29.8,80.25,,,,,,,NOAA_GFS_0P25,HISTORICAL_OPERATIONAL,HISTORICAL_VINTAGE_UNAVAILABLE,1.0
FL-UK-2019-01,2019-08-18,2019-08-18T00:00:00,31.025,77.854,,,,,,,NOAA_GFS_0P25,HISTORICAL_OPERATIONAL,HISTORICAL_VINTAGE_UNAVAILABLE,1.0
FL-UK-2021-01,2021-02-07,2021-02-07T00:00:00,30.4833,79.7333,,,,,,,NOAA_GFS_0P25,HISTORICAL_OPERATIONAL,HISTORICAL_VINTAGE_UNAVAILABLE,1.0
FL-UK-2021-02,2021-10-18,2021-10-18T00:00:00,29.38,79.45,,,,,,,NOAA_GFS_0P25,HISTORICAL_OPERATIONAL,HISTORICAL_VINTAGE_UNAVAILABLE,1.0
FL-UK-2022-01,2022-08-19,2022-08-19T00:00:00,30.342,78.134,,,,,,,NOAA_GFS_0P25,HISTORICAL_OPERATIONAL,HISTORICAL_VINTAGE_UNAVAILABLE,1.0
FL-UK-2023-01,2023-08-04,2023-08-04T00:00:00,30.5833,79.0333,,,,,,,NOAA_GFS_0P25,HISTORICAL_OPERATIONAL,HISTORICAL_VINTAGE_UNAVAILABLE,1.0
FL-UK-2023-02,2023-08-14,2023-08-14T00:00:00,29.746,78.528,,,,,,,NOAA_GFS_0P25,HISTORICAL_OPERATIONAL,HISTORICAL_VINTAGE_UNAVAILABLE,1.0
FL-UK-2024-01,2024-07-31,2024-07-31T00:00:00,30.654,79.052,,,,,,,NOAA_GFS_0P25,HISTORICAL_OPERATIONAL,HISTORICAL_VINTAGE_UNAVAILABLE,1.0
