event_id,event_date,event_type,event_time_precision,event_start_timestamp_utc,target_eligibility,hazard_category,primary_source,time_upgrade_evidence,coordinate_provenance
FL-UK-1970-01,1970-07-20,flash flood,DATE_ONLY,UNAVAILABLE,FLASH_FLOOD_TARGET_ELIGIBLE,FLASH_FLOOD / CLOUDBURST,Geological Survey of India (GSI) / Central Water Commission (CWC),Official USDMA/IMD/GSI disaster report records event on 1970-07-20 without exact ISO start timestamp.,DIRECT
FL-UK-1998-01,1998-08-11,debris-flow/flood event,DATE_ONLY,UNAVAILABLE,DEBRIS_FLOW_EXCLUDED,DEBRIS_FLOW,Wadia Institute of Himalayan Geology (WIHG) / GSI Special Publication No. 65,Official USDMA/IMD/GSI disaster report records event on 1998-08-11 without exact ISO start timestamp.,DERIVED
FL-UK-1998-02,1998-08-18,debris-flow/flood event,DATE_ONLY,UNAVAILABLE,DEBRIS_FLOW_EXCLUDED,DEBRIS_FLOW,National Disaster Management Authority (NDMA) / GSI Report on Malpa Tragedy,Official USDMA/IMD/GSI disaster report records event on 1998-08-18 without exact ISO start timestamp.,DIRECT
FL-UK-2010-01,2010-09-18,extreme rainfall flood,DATE_ONLY,UNAVAILABLE,LONG_FUSE_RIVERINE_FLOOD (EXCLUDED FROM SHORT-FUSE TARGET),RIVER_FLOOD,India Meteorological Department (IMD) Monsoon Report 2010 / USDMA,Official USDMA/IMD/GSI disaster report records event on 2010-09-18 without exact ISO start timestamp.,DERIVED
FL-UK-2012-01,2012-08-03,cloudburst-induced flood,DATE_ONLY,UNAVAILABLE,FLASH_FLOOD_TARGET_ELIGIBLE,FLASH_FLOOD / CLOUDBURST,Uttarakhand State Disaster Management Authority (USDMA) / GSI Flash Flood Report,Official USDMA/IMD/GSI disaster report records event on 2012-08-03 without exact ISO start timestamp.,DERIVED
FL-UK-2012-02,2012-09-13,cloudburst-induced flood,DATE_ONLY,UNAVAILABLE,FLASH_FLOOD_TARGET_ELIGIBLE,FLASH_FLOOD / CLOUDBURST,USDMA Incident Report / NIDM Case Study,Official USDMA/IMD/GSI disaster report records event on 2012-09-13 without exact ISO start timestamp.,DERIVED
FL-UK-2013-01,2013-06-16,glacial lake outburst flood (GLOF),DATE_ONLY,UNAVAILABLE,COMPOSITE_SURGE_ELIGIBLE,GLOF / FLASH_FLOOD,National Disaster Management Authority (NDMA) / Geological Survey of India (GSI) Special Report / ISRO-NRSC,Official USDMA/IMD/GSI disaster report records event on 2013-06-16 without exact ISO start timestamp.,DIRECT
FL-UK-2016-01,2016-07-01,cloudburst-induced flood,DATE_ONLY,UNAVAILABLE,FLASH_FLOOD_TARGET_ELIGIBLE,FLASH_FLOOD / CLOUDBURST,Uttarakhand State Disaster Management Authority (USDMA) Disaster Bulletin,Official USDMA/IMD/GSI disaster report records event on 2016-07-01 without exact ISO start timestamp.,DIRECT
FL-UK-2019-01,2019-08-18,cloudburst-induced flood,DATE_ONLY,UNAVAILABLE,FLASH_FLOOD_TARGET_ELIGIBLE,FLASH_FLOOD / CLOUDBURST,State Emergency Operation Centre (SEOC) Uttarakhand / USDMA,Official USDMA/IMD/GSI disaster report records event on 2019-08-18 without exact ISO start timestamp.,DERIVED
FL-UK-2021-01,2021-02-07,debris-flow/flood event,EXACT_TIMESTAMP,2021-02-07T04:55:00Z,NON_METEOROLOGICAL_DEBRIS_FLOW (EXCLUDED FROM RAINFALL TARGET),DEBRIS_FLOW / AVALANCHE,"Geological Survey of India (GSI) / ISRO-NRSC / WIHG / Shugar et al. (Science, 2021)","GSI / Science (Shugar et al., 2021) confirmed rock-ice avalanche onset at 10:25 AM IST (04:55 UTC).",DIRECT
FL-UK-2021-02,2021-10-18,extreme rainfall flood,DATE_ONLY,UNAVAILABLE,LONG_FUSE_RIVERINE_FLOOD (EXCLUDED FROM SHORT-FUSE TARGET),RIVER_FLOOD,India Meteorological Department (IMD) Climate Diagnostics / USDMA,Official USDMA/IMD/GSI disaster report records event on 2021-10-18 without exact ISO start timestamp.,DERIVED
FL-UK-2022-01,2022-08-19,cloudburst-induced flood,DATE_ONLY,UNAVAILABLE,FLASH_FLOOD_TARGET_ELIGIBLE,FLASH_FLOOD / CLOUDBURST,State Emergency Operations Centre (SEOC) Dehradun / USDMA Bulletin,Official USDMA/IMD/GSI disaster report records event on 2022-08-19 without exact ISO start timestamp.,DIRECT
FL-UK-2023-01,2023-08-04,flash flood,DATE_ONLY,UNAVAILABLE,FLASH_FLOOD_TARGET_ELIGIBLE,FLASH_FLOOD / CLOUDBURST,District Disaster Management Authority (DDMA) Rudraprayag / USDMA,Official USDMA/IMD/GSI disaster report records event on 2023-08-04 without exact ISO start timestamp.,DERIVED
FL-UK-2023-02,2023-08-14,flash flood,DATE_ONLY,UNAVAILABLE,FLASH_FLOOD_TARGET_ELIGIBLE,FLASH_FLOOD / CLOUDBURST,DDMA Pauri Garhwal / State Emergency Operations Centre (SEOC),Official USDMA/IMD/GSI disaster report records event on 2023-08-14 without exact ISO start timestamp.,DERIVED
FL-UK-2024-01,2024-07-31,cloudburst-induced flood,DATE_ONLY,UNAVAILABLE,FLASH_FLOOD_TARGET_ELIGIBLE,FLASH_FLOOD / CLOUDBURST,Uttarakhand State Disaster Management Authority (USDMA) / SDRF Uttarakhand Incident Report,Official USDMA/IMD/GSI disaster report records event on 2024-07-31 without exact ISO start timestamp.,DERIVED
