feature_name,source,unit,spatial_resolution,temporal_resolution,description,observed_or_derived,availability,missingness,safe_for_training,leakage_classification
event_id,Event Catalogue,Key/ID,Point/Catchment,Event/Window,Unique event or negative sample identifier,Observed,100%,0%,Metadata,AVAILABLE_AT_PREDICTION_TIME
event_date,Event Catalogue,YYYY-MM-DD,Point/Catchment,Daily,Official event date or negative sample date,Observed,100%,0%,Metadata,AVAILABLE_AT_PREDICTION_TIME
timestamp,NASA GPM / Control,ISO8601,0.1 deg,Hourly,UTC observation timestamp,Observed,100%,0%,Metadata,AVAILABLE_AT_PREDICTION_TIME
latitude,Event Catalogue,degrees,Point,Static,Latitude coordinate,Observed,100%,0%,Spatial Key,AVAILABLE_AT_PREDICTION_TIME
longitude,Event Catalogue,degrees,Point,Static,Longitude coordinate,Observed,100%,0%,Spatial Key,AVAILABLE_AT_PREDICTION_TIME
district,GoI Administration,string,District,Static,Administrative district in Uttarakhand,Observed,100%,0%,Spatial Key,AVAILABLE_AT_PREDICTION_TIME
river_catchment,CWC / HydroSHEDS,string,Basin,Static,River basin / tributary catchment,Observed,100%,0%,Spatial Key,AVAILABLE_AT_PREDICTION_TIME
event_type,USDMA / GSI Audit,string,Point,Static,Hazard taxonomy type,Observed,100%,0%,Metadata,AVAILABLE_AT_PREDICTION_TIME
flash_flood_target_eligible,Primary Evidence,boolean,Point,Static,Eligibility indicator for flash flood ML target,Observed,100%,0%,Metadata,AVAILABLE_AT_PREDICTION_TIME
event_time_precision,Primary Evidence,string,Point,Static,Timing precision (EXACT_TIMESTAMP vs DATE_ONLY),Observed,100%,0%,Metadata,AVAILABLE_AT_PREDICTION_TIME
coord_class,Primary Evidence,string,Point,Static,Coordinate provenance (DIRECT vs DERIVED),Observed,100%,0%,Metadata,AVAILABLE_AT_PREDICTION_TIME
sample_class,Dataset Sampler,string,Point,Static,Sample classification (HISTORICAL_DISASTER_EVENT vs NEGATIVE_CONTROL),Observed,100%,0%,Metadata,AVAILABLE_AT_PREDICTION_TIME
