event_id,latitude,longitude,landcover_class,landcover_name,forest_fraction,cropland_fraction,urban_fraction,bare_ground_fraction,source_product,source_version
FL-UK-1970-01,30.412,79.431,10,Tree cover,0.75,0.1,0.02,0.13,ESA_WORLDCOVER_10M,v200
FL-UK-1998-01,30.517,79.096,10,Tree cover,0.68,0.08,0.01,0.23,ESA_WORLDCOVER_10M,v200
FL-UK-1998-02,29.9167,80.75,10,Tree cover,0.7,0.12,0.02,0.16,ESA_WORLDCOVER_10M,v200
FL-UK-2010-01,29.956,78.171,50,Built-up,0.15,0.45,0.35,0.05,ESA_WORLDCOVER_10M,v200
FL-UK-2012-01,30.765,78.472,10,Tree cover,0.65,0.2,0.05,0.1,ESA_WORLDCOVER_10M,v200
FL-UK-2012-02,30.528,79.112,10,Tree cover,0.72,0.1,0.03,0.15,ESA_WORLDCOVER_10M,v200
FL-UK-2013-01,30.735,79.0669,90,Snow and ice,0.05,0.0,0.01,0.4,ESA_WORLDCOVER_10M,v200
FL-UK-2016-01,29.8,80.25,10,Tree cover,0.7,0.15,0.03,0.12,ESA_WORLDCOVER_10M,v200
FL-UK-2019-01,31.025,77.854,10,Tree cover,0.62,0.18,0.04,0.16,ESA_WORLDCOVER_10M,v200
FL-UK-2021-01,30.4833,79.7333,60,Bare / sparse vegetation,0.35,0.02,0.01,0.58,ESA_WORLDCOVER_10M,v200
FL-UK-2021-02,29.38,79.45,10,Tree cover,0.8,0.08,0.04,0.08,ESA_WORLDCOVER_10M,v200
FL-UK-2022-01,30.342,78.134,10,Tree cover,0.55,0.25,0.12,0.08,ESA_WORLDCOVER_10M,v200
FL-UK-2023-01,30.5833,79.0333,10,Tree cover,0.68,0.12,0.03,0.17,ESA_WORLDCOVER_10M,v200
FL-UK-2023-02,29.746,78.528,10,Tree cover,0.58,0.28,0.08,0.06,ESA_WORLDCOVER_10M,v200
FL-UK-2024-01,30.654,79.052,10,Tree cover,0.66,0.14,0.03,0.17,ESA_WORLDCOVER_10M,v200
