sample_id,district,latitude,longitude,start_date,negative_sample_source,negative_sample_rule,source_provenance,target_flood_next_1h,target_flood_next_3h,target_flood_next_6h,target_flood_next_12h,target_flood_next_24h
NEG-UK-2018-01,Chamoli,30.4,79.33,2018-07-15,USDMA / SEOC Disaster Archive Audit,Verified zero disaster incident report in district on date during active monsoon season,GoI Disaster Management Bulletin & GPM IMERG V07 / SMAP L4 Real Observations,0,0,0,0,0
NEG-UK-2018-02,Rudraprayag,30.48,79.05,2018-08-10,USDMA / SEOC Disaster Archive Audit,Verified zero disaster incident report in district on date during active monsoon season,GoI Disaster Management Bulletin & GPM IMERG V07 / SMAP L4 Real Observations,0,0,0,0,0
NEG-UK-2019-01,Uttarkashi,30.73,78.44,2019-07-22,USDMA / SEOC Disaster Archive Audit,Verified zero disaster incident report in district on date during active monsoon season,GoI Disaster Management Bulletin & GPM IMERG V07 / SMAP L4 Real Observations,0,0,0,0,0
NEG-UK-2020-01,Pithoragarh,29.85,80.2,2020-08-05,USDMA / SEOC Disaster Archive Audit,Verified zero disaster incident report in district on date during active monsoon season,GoI Disaster Management Bulletin & GPM IMERG V07 / SMAP L4 Real Observations,0,0,0,0,0
NEG-UK-2020-02,Dehradun,30.32,78.08,2020-09-01,USDMA / SEOC Disaster Archive Audit,Verified zero disaster incident report in district on date during active monsoon season,GoI Disaster Management Bulletin & GPM IMERG V07 / SMAP L4 Real Observations,0,0,0,0,0
NEG-UK-2022-01,Pauri Garhwal,29.8,78.7,2022-07-18,USDMA / SEOC Disaster Archive Audit,Verified zero disaster incident report in district on date during active monsoon season,GoI Disaster Management Bulletin & GPM IMERG V07 / SMAP L4 Real Observations,0,0,0,0,0
NEG-UK-2022-02,Tehri Garhwal,30.38,78.48,2022-08-01,USDMA / SEOC Disaster Archive Audit,Verified zero disaster incident report in district on date during active monsoon season,GoI Disaster Management Bulletin & GPM IMERG V07 / SMAP L4 Real Observations,0,0,0,0,0
NEG-UK-2023-01,Haridwar,29.92,78.12,2023-07-10,USDMA / SEOC Disaster Archive Audit,Verified zero disaster incident report in district on date during active monsoon season,GoI Disaster Management Bulletin & GPM IMERG V07 / SMAP L4 Real Observations,0,0,0,0,0
NEG-UK-2023-02,Nainital,29.35,79.48,2023-08-25,USDMA / SEOC Disaster Archive Audit,Verified zero disaster incident report in district on date during active monsoon season,GoI Disaster Management Bulletin & GPM IMERG V07 / SMAP L4 Real Observations,0,0,0,0,0
NEG-UK-2024-01,Chamoli,30.55,79.52,2024-07-10,USDMA / SEOC Disaster Archive Audit,Verified zero disaster incident report in district on date during active monsoon season,GoI Disaster Management Bulletin & GPM IMERG V07 / SMAP L4 Real Observations,0,0,0,0,0
