Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
1024,UEI-IMD-FL-1982-0052,08-08-1982 00:00,14-08-1982 00:00,7.0,flash floods in a nullah,,Chamoli,Uttarakhand,,,,,,5.0,,,5 persons drowned,4 houses washed away in Admala village (Karanprayag Tehsil),IMD,,47,5
1310,UEI-IMD-FL-1985-0060,22-07-1985 00:00,28-07-1985 00:00,7.0,flash floods,,Garhwal,Uttarakhand,,,,,12.0,,,,12 persons swept away in Gola river at Kotedwara,,IMD,,52,5
3280,UEI-IMD-FL-2004-0062,29-05-2004 00:00,29-05-2004 00:00,1.0,flash flood(cloud burst),,Bageshwar,Uttarakhand,,,,,,3.0,,,3 persons swept away near Lohar Khet,,IMD,,46,5
3281,UEI-IMD-FL-2004-0063,01-06-2004 00:00,01-06-2004 00:00,1.0,heavy rains(cloud burst),,Almora,Uttarakhand,,,,,,,,,Several cattleheads washed away,Potato crop in 3000 hectares damaged,IMD,,45,5
3282,UEI-IMD-FL-2004-0064,06-07-2004 00:00,06-07-2004 00:00,1.0,heavy rains(cloud burst),,Chamoli,Uttarakhand,,,,,31.0,28.0,,,"31 pilgrims died,28 others injured when 3 vehicles carrying them swamped into the Alakhanda river due to massive landslide triggered by a cloud burst","(i)Landslide reported (ii)3 vehicles washed away (iii)More than 5000 pilgrims stranded as severe damage to road reported near Lambagar (iv) Bad weather hampered rescue,relief work",IMD,,47,5
3284,UEI-IMD-FL-2004-0066,26-08-2004 00:00,26-08-2004 00:00,1.0,flash flood,,Udam Singh Nagar,Uttarakhand,,,,,8.0,,,,8 persons lost their lives,(i)Breaches at zero point of Nanak Sagar dam caused heavy destruction (ii)Chikadghat bridge washed away,IMD,,56,5
3927,UEI-IMD-FL-2009-0076,08-08-2009 00:00,08-08-2009 00:00,1.0,severe flood (cloud burst),,Pithoragarh,Uttarakhand,,,,,43.0,,,100.0,i) About 43 persons died. i) ii) About 100 cattle heads perished. ,i)About 12 houses trapped under debris. ii) Landslide reported.,IMD,,53,5
4270,UEI-IMD-FL-2012-0077,04-08-2012 00:00,04-08-2012 00:00,1.0,heavy rains (cloud burst) ,,Chamoli,Uttarakhand,,,,,7.0,20.0,,,"i) One child washed away. ii) 2 children died in a house collapse. iii) 3 jawans of the fire brigade,2 others died in Gangitri. iv) 19 labours missing from Assi Ganga Hydel project. ",i) Landslides reported.ii) About 30 houses washed away. iii) Gangotri bridge collapsed. iv) Pilgrims of Badrinath-Kedarnath stranded.  v) About 250 falilies shifted to safer places. ,IMD,,47,5
4271,UEI-IMD-FL-2012-0078,13-09-2012 00:00,13-09-2012 00:00,1.0,heavy rains (cloud burst),,Rudra Prayag,Uttarakhand,,,,,7.0,55.0,,,i) 7 persons died in house collapse. ii) About 40 persons missing. iii) About 15 others injured. ,"1) In Ukhimath area about 12 kachcha houses collapsed from 8 villages, ii) Landslides reported at national highways Hrishikesh-Badrinath,Hrishikesh-Gangotri. ",IMD,,54,5
4404,UEI-IMD-FL-2013-0131,14-06-2013 00:00,18-06-2013 00:00,5.0,"heavy to very rainfall/flash floods (saraswati,mandakini rivers,its tributaries triggered by very heavy rainfall,lake burst), cloudburst on jun16 &17 jun, massive landslides,avalanches reported at multiple places. ",,"Chamoli, Pithoragarh, Rudra Prayag,Uttar Kashi Kashi",Uttarakhand,,,,,5000.0,,,1000.0,"i) About 5,000 people- the locals, the pilgrims, the tourists, trakers died/missing. ii) More than thousand livestock perished. ","i) More than thousands of pilgrims of Char Dham on the Gangotri,Yamunotri routes, Hemkund, Roopkunda,tourists/trakers of Valley of flowers stranded. ii) Lakhs of people shifted to safer places. iii) Many roads including state highways, infrastructures, villages washed away/damaged. iv) Many Hydroelectric projects, houses, water schemes, bridges, commercial,residential buildings, hotels, rest houses, shops, temples, telephone towers, vehicles destroyed/ drifted in the floods of rivers. v) Damage to the cash crops especially apple crops reported.    ",IMD,,"47, 53, 54, None",5
