Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
586,UEI-IMD-FL-1970-0002,15-07-1970 00:00,29-07-1970 00:00,15.0,flood,,Entire village,Uttarakhand,,,,,,,,,,"Flooding of Alakanda river caused considerable loss of life among pilgrims. A number of bridges, houses,even an entire village in the Joshimath area were washed away",IMD,,,5
819,UEI-IMD-FL-1979-0057,09-03-1979 00:00,09-03-1979 00:00,1.0,heavy rains,,Chamoli,Uttarakhand,,,,,,,,,,Number of houses heavily damaged in flash floods,IMD,,47,5
878,UEI-IMD-FL-1980-0055,25-06-1980 00:00,25-06-1980 00:00,1.0,heavy rains,,Uttar Kashi Kashi,Uttarakhand,,,,,25.0,7.0,,,"i)25 persons killed in massive land-slides in Gyansu village, 3 missing & 7 Injured ii)Hundreds of cattle killed",i)Vast areas inundated ii)The entire Gyansu village situated on the banks of Bhagirathi river destroyed,IMD,,,5
1022,UEI-IMD-FL-1982-0050,15-04-1982 00:00,28-04-1982 00:00,14.0,heavy rains (unseasonal),,"Dehradun, Almora",Uttarakhand,,,,,,,,,,"Harvested,ready for harvest wheat crop damaged",IMD,,"49, 45",5
1024,UEI-IMD-FL-1982-0052,08-08-1982 00:00,14-08-1982 00:00,7.0,flash floods in a nullah,,Chamoli,Uttarakhand,,,,,,5.0,,,5 persons drowned,4 houses washed away in Admala village (Karanprayag Tehsil),IMD,,47,5
1128,UEI-IMD-FL-1983-0094,22-07-1983 00:00,22-07-1983 00:00,1.0,heavy rains,,Almora ,Uttarakhand,,,,,37.0,,,38,"37 persons died,38 cattleheads perished in landslides","The villages Karmi, Patti, Maldah,Danpur in Bageshwari tehsil completely cut off from rest of the state",IMD,,45,5
1230,UEI-IMD-FL-1984-0087,29-06-1984 00:00,29-06-1984 00:00,1.0,heavy rains,,Nainital,Uttarakhand,,,,,6.0,,,,"6 persons,large number of cattleheads perished in a landslide",,IMD,,51,5
1231,UEI-IMD-FL-1984-0088,02-07-1984 00:00,02-07-1984 00:00,1.0,heavy rains,,Almora,Uttarakhand,,,,,9.0,,,,9 persons killed in a landslide in Jagthana villages,3 houses damaged,IMD,,45,5
1233,UEI-IMD-FL-1984-0090,30-07-1984 00:00,30-07-1984 00:00,1.0,heavy rains,,Nainital,Uttarakhand,,,,,8.0,,,,8 persons killed in Puran village on Nainital road,,IMD,,51,5
1310,UEI-IMD-FL-1985-0060,22-07-1985 00:00,28-07-1985 00:00,7.0,flash floods,,Garhwal,Uttarakhand,,,,,12.0,,,,12 persons swept away in Gola river at Kotedwara,,IMD,,52,5
1316,UEI-IMD-FL-1985-0066,22-10-1985 00:00,28-10-1985 00:00,7.0,heavy rains,,Garhwal,Uttarakhand,,,,,,,,,,"A bridge near Malari, situated at an height of 3048 m (10,000 ft) high breached due to landslides",IMD,,52,5
1693,UEI-IMD-FL-1990-0075,09-07-1990 00:00,09-07-1990 00:00,1.0,heavy rains,,Garhwal,Uttarakhand,,,,,70.0,,,,70 persons died due to landslide at Tali village,,IMD,,52,5
1820,UEI-IMD-FL-1991-0100,15-08-1991 00:00,16-08-1991 00:00,2.0,heavy rains,,Chamoli,Uttarakhand,,,,,32.0,,,90,i)32 persons died ii)90 cattleheads perished,"i)6 villages affected ii)40 hectares of agricultural land submerged iii)96 houses completely,146 partially collapsed",IMD,,47,5
1821,UEI-IMD-FL-1991-0101,16-08-1991 00:00,17-08-1991 00:00,2.0,heavy rains,,Almora,Uttarakhand,,,,,1.0,,,14,i)1 person died ii)14 cattleheads perished,"i)6,709 people in 29 villages affected ii)31 hectares of land area,38 hectares of crop land submerged iii)34 houses completely,115 partially damaged",IMD,,45,5
1822,UEI-IMD-FL-1991-0102,18-08-1991 00:00,18-08-1991 00:00,1.0,heavy rains,,Tehri Garhwal,Uttarakhand,,,,,,,,5,5 cattleheaads perished,3 houses completely damaged,IMD,,55,5
3027,UEI-IMD-FL-2001-0098,06-07-2001 00:00,06-07-2001 00:00,1.0,heavy rains,,"Uttar Kashi Kashi, Chamoli, Dehradun, Tehri Garhwal, Rudra Prayag, Pithoragarh, Bageshwar, Haridwar, Garhwal, Almora, Nainital, Champawat, Udam Singh Nagar",Uttarakhand,,,,,10.0,,,,10 tourists died due to landslide in Gomukh,(i) Landslides reported (ii)Many people stranded on the way; helped by India-Tibet border police,IMD,,"None, 47, 49, 55, 54, 53, 46, 50, 52, 45, 51, 48, 56",5
3028,UEI-IMD-FL-2001-0099,16-07-2001 00:00,16-07-2001 00:00,1.0,heavy rains,,"Uttar Kashi Kashi, Chamoli, Dehradun, Tehri Garhwal, Rudra Prayag, Pithoragarh, Bageshwar, Haridwar, Garhwal, Almora, Nainital, Champawat, Udam Singh Nagar",Uttarakhand,,,,,25.0,,,25,"(i)More than 25 pesons died,many other injured/missing due to landslides in Gupt Kashi,Gauri Kund area (ii) 25 cattle lost",(i) Landslides reported (ii) 26 houses damaged,IMD,,"None, 47, 49, 55, 54, 53, 46, 50, 52, 45, 51, 48, 56",5
3029,UEI-IMD-FL-2001-0100,18-07-2001 00:00,18-07-2001 00:00,1.0,heavy rains,,Rudra Prayag,Uttarakhand,,,,,26.0,,,30,(i)26 people died in landslides (ii)30 animals perished,"(i) Landslides reported (ii) 4 villages of Vyomguard,Fatta areas cut off (iii) 26 houses completely damaged (iv) Relief,rescue opeations assisted by Polica,Jawans of INdo-Tibet Border Security to remove debris (v) 850 Kedarnath pilgrims stranded between Gupt Kashi,Gauri Kund. traffic closed down on Dehra Dun-Chakrata,Tihri- over diversion, hampering supply of medicines, tents etc to the affected people",IMD,,54,5
3097,UEI-IMD-FL-2002-0059,11-08-2002 00:00,11-08-2002 00:00,1.0,heavy rains,,"Tehri Garhwal,Uttar Kashi Kashi",Uttarakhand,,,,,33.0,,,,(i)33 pesons died due to landslides (ii)Several cattleheads perished,"(i)Landslides reported (ii)Large number of houses destroyed (iii) Army employed for rescue work (iv) Rescue work hampered due to rains,bad light",IMD,,"55, None",5
3100,UEI-IMD-FL-2002-0062,12-09-2002 00:00,12-09-2002 00:00,1.0,heavy rains,,"Haridwar,Nainital",Uttarakhand,,,,,,,,,,Many houses collapsed,IMD,,"50, 51",5
3198,UEI-IMD-FL-2003-0093,04-07-2003 00:00,06-07-2003 00:00,3.0,heavy rains,,"Dehradun,Tehri Garhwal",Uttarakhand,,,,,5.0,,,,5 persons died in different incidents of drowning/ landslide,"(i)Landslide reported (ii)Road communication affctd. Gangotri, Riskhikesh,Badrinath cound traffic stranded",IMD,,"49, 55",5
3199,UEI-IMD-FL-2003-0094,21-09-2003 00:00,21-09-2003 00:00,1.0,heavy rains,,Pithoragarh,Uttarakhand,,,,,7.0,,,,7 ITBP personnel lost their lives while returning from the Panchchuli summit,Landslide reported,IMD,,53,5
3280,UEI-IMD-FL-2004-0062,29-05-2004 00:00,29-05-2004 00:00,1.0,flash flood(cloud burst),,Bageshwar,Uttarakhand,,,,,,3.0,,,3 persons swept away near Lohar Khet,,IMD,,46,5
3281,UEI-IMD-FL-2004-0063,01-06-2004 00:00,01-06-2004 00:00,1.0,heavy rains(cloud burst),,Almora,Uttarakhand,,,,,,,,,Several cattleheads washed away,Potato crop in 3000 hectares damaged,IMD,,45,5
3282,UEI-IMD-FL-2004-0064,06-07-2004 00:00,06-07-2004 00:00,1.0,heavy rains(cloud burst),,Chamoli,Uttarakhand,,,,,31.0,28.0,,,"31 pilgrims died,28 others injured when 3 vehicles carrying them swamped into the Alakhanda river due to massive landslide triggered by a cloud burst","(i)Landslide reported (ii)3 vehicles washed away (iii)More than 5000 pilgrims stranded as severe damage to road reported near Lambagar (iv) Bad weather hampered rescue,relief work",IMD,,47,5
3283,UEI-IMD-FL-2004-0065,28-07-2004 00:00,28-07-2004 00:00,1.0,heavy rains,,"Tehri Garhwal,Uttar Kashi Kashi",Uttarakhand,,,,,6.0,,,,6 persons buried alive in a landslide,Landslide reported,IMD,,"55, None",5
3284,UEI-IMD-FL-2004-0066,26-08-2004 00:00,26-08-2004 00:00,1.0,flash flood,,Udam Singh Nagar,Uttarakhand,,,,,8.0,,,,8 persons lost their lives,(i)Breaches at zero point of Nanak Sagar dam caused heavy destruction (ii)Chikadghat bridge washed away,IMD,,56,5
3439,UEI-IMD-FL-2005-0146,30-06-2005 00:00,30-06-2005 00:00,1.0,heavy rains,,Chamoli,Uttarakhand,,,,,9.0,,,,9 persons died due to landslide.,,IMD,,47,5
3443,UEI-IMD-FL-2005-0150,22-07-2005 00:00,22-07-2005 00:00,1.0,heavy rains,,Tehri Garhwal,Uttarakhand,,,,,4.0,,,,4 persons died in land slide incidence.,Landslide reported in Badiargarh area.,IMD,,55,5
3444,UEI-IMD-FL-2005-0151,03-08-2005 00:00,03-08-2005 00:00,1.0,heavy rains,,Tehri Garhwal,Uttarakhand,,,,,11.0,,,,11 persons died due to landslide.,,IMD,,55,5
3445,UEI-IMD-FL-2005-0152,05-08-2005 00:00,05-08-2005 00:00,1.0,heavy rains,,Pithoragarh,Uttarakhand,,,,,10.0,,,,10 persons died in cloud burst incidence at Dharchula.,,IMD,,53,5
3449,UEI-IMD-FL-2005-0156,05-09-2005 00:00,06-09-2005 00:00,2.0,heavy rains,,Bageshwar ,Uttarakhand,,,,,,,,,,Motor road damaged at Jaojit area.,IMD,,46,5
3839,UEI-IMD-FL-2008-0115,17-07-2008 00:00,17-07-2008 00:00,1.0,heavy rains,,Champawat,Uttarakhand,,,,,10.0,12.0,,,"10 persons died,12 injured.",Landslide reported.,IMD,,48,5
3925,UEI-IMD-FL-2009-0074,28-07-2009 00:00,28-07-2009 00:00,1.0,heavy rains,,Garhwal,Uttarakhand,,,,,6.0,,,,6 persons died.,Landslide reported.,IMD,,52,5
3927,UEI-IMD-FL-2009-0076,08-08-2009 00:00,08-08-2009 00:00,1.0,severe flood (cloud burst),,Pithoragarh,Uttarakhand,,,,,43.0,,,100,i) About 43 persons died. i) ii) About 100 cattle heads perished. ,i)About 12 houses trapped under debris. ii) Landslide reported.,IMD,,53,5
4072,UEI-IMD-FL-2010-0135,05-07-2010 00:00,05-07-2010 00:00,1.0,heavy rains,,Mathura,Uttarakhand,,,,,6.0,2.0,,,"6 persons died,2 others injured.",,IMD,,167,5
4073,UEI-IMD-FL-2010-0136,18-08-2010 00:00,18-08-2010 00:00,1.0,heavy rains,,Bageshwar,Uttarakhand,,,,,18.0,8.0,,,"18 children died,8 others injured due to school roof collapsed. ",i) Landslide reported. ii) Damage to public property reported. ,IMD,,46,5
4077,UEI-IMD-FL-2010-0140,18-09-2010 00:00,19-09-2010 00:00,2.0,heavy rains,,"Almora, Dehradun,Nainital",Uttarakhand,,,,,20.0,,,,About 20 persons buried alive in the landslide incidence. ,i) Cloud burst reported. ii) Many people rendered homeless. ,IMD,,"45, 49, 51",5
4184,UEI-IMD-FL-2011-0098,21-07-2011 00:00,21-07-2011 00:00,1.0,heavy rains,,Almora,Uttarakhand,,,,,2.0,,,,2 persons died in different incidences.,,IMD,,45,5
4185,UEI-IMD-FL-2011-0099,23-08-2011 00:00,23-08-2011 00:00,1.0,heavy rains,,Parts of Uttar Kashiakhand,Uttarakhand,,,,,5.0,,,,5 labourers died due to wall collapse.,,IMD,,,5
4270,UEI-IMD-FL-2012-0077,04-08-2012 00:00,04-08-2012 00:00,1.0,heavy rains (cloud burst) ,,Chamoli,Uttarakhand,,,,,7.0,20.0,,,"i) One child washed away. ii) 2 children died in a house collapse. iii) 3 jawans of the fire brigade,2 others died in Gangitri. iv) 19 labours missing from Assi Ganga Hydel project. ",i) Landslides reported.ii) About 30 houses washed away. iii) Gangotri bridge collapsed. iv) Pilgrims of Badrinath-Kedarnath stranded.  v) About 250 falilies shifted to safer places. ,IMD,,47,5
4271,UEI-IMD-FL-2012-0078,13-09-2012 00:00,13-09-2012 00:00,1.0,heavy rains (cloud burst),,Rudra Prayag,Uttarakhand,,,,,7.0,55.0,,,i) 7 persons died in house collapse. ii) About 40 persons missing. iii) About 15 others injured. ,"1) In Ukhimath area about 12 kachcha houses collapsed from 8 villages, ii) Landslides reported at national highways Hrishikesh-Badrinath,Hrishikesh-Gangotri. ",IMD,,54,5
4404,UEI-IMD-FL-2013-0131,14-06-2013 00:00,18-06-2013 00:00,5.0,"heavy to very rainfall/flash floods (saraswati,mandakini rivers,its tributaries triggered by very heavy rainfall,lake burst), cloudburst on jun16 &17 jun, massive landslides,avalanches reported at multiple places. ",,"Chamoli, Pithoragarh, Rudra Prayag,Uttar Kashi Kashi",Uttarakhand,,,,,5000.0,,,1000,"i) About 5,000 people- the locals, the pilgrims, the tourists, trakers died/missing. ii) More than thousand livestock perished. ","i) More than thousands of pilgrims of Char Dham on the Gangotri,Yamunotri routes, Hemkund, Roopkunda,tourists/trakers of Valley of flowers stranded. ii) Lakhs of people shifted to safer places. iii) Many roads including state highways, infrastructures, villages washed away/damaged. iv) Many Hydroelectric projects, houses, water schemes, bridges, commercial,residential buildings, hotels, rest houses, shops, temples, telephone towers, vehicles destroyed/ drifted in the floods of rivers. v) Damage to the cash crops especially apple crops reported.    ",IMD,,"47, 53, 54, None",5
4493,UEI-IMD-FL-2014-0086,27-07-2014 00:00,27-07-2014 00:00,1.0,heavy rains ,,Pithoragarh ,Uttarakhand,,,,,6.0,,,,6 persons died in a landslide in Pangla village.,,IMD,,53,5
4494,UEI-IMD-FL-2014-0087,31-07-2014 00:00,31-07-2014 00:00,1.0,heavy rains,,Tehri Garhwal ,Uttarakhand,,,,,5.0,,,,5 persons died in a landslide in Navthana village.,,IMD,,55,5
4495,UEI-IMD-FL-2014-0088,11-08-2014 00:00,11-08-2014 00:00,1.0,heavy rains ,,Parts of Uttar Kashiakhand ,Uttarakhand,,,,,,,,,5 persons died.,,IMD,,,5
4599,UEI-IMD-FL-2015-0104,26-07-2015 00:00,26-07-2015 00:00,1.0,heavy rains,,Parts of Uttar Kashiakhand,Uttarakhand,,,,,1.0,,,,1 person died ,,IMD,,,5
4728,UEI-IMD-FL-2016-0126,08-05-2016 00:00,08-05-2016 00:00,1.0,landslide,,Chamoli,Uttarakhand,,,,,,,,,,i) Damage to more than 10 houses reported ii) Damage to more than half dozen vehicles reported.,IMD,,47,5
4729,UEI-IMD-FL-2016-0127,22-05-2016 00:00,22-05-2016 00:00,1.0,landslide,,Dehradun,Uttarakhand,,,,,10.0,5.0,,,10 labourers died & 5 other injured.,,IMD,,49,5
4730,UEI-IMD-FL-2016-0128,28-05-2016 00:00,28-05-2016 00:00,1.0,cloud burst,,"Tehri Garhwal,Uttar Kashi Kashi",Uttarakhand,,,,,5.0,,,,5 persons died.,,IMD,,"55, None",5
4731,UEI-IMD-FL-2016-0129,03-07-2016 00:00,03-07-2016 00:00,1.0,cloud burst,,"Chamoli, Pithoragarh",Uttarakhand,,,,,20.0,12.0,,,20 persons died & 12 others missing.,i) 150 families affected ii) 4 houses fully & 12 houses partially damaged.,IMD,,"47, 53",5
4732,UEI-IMD-FL-2016-0130,16-07-2016 00:00,17-07-2016 00:00,2.0,heavy rains & heavy rains &,,"Dehradun, Nainital, Tehri Garhwal, Uttar Kashi Kashi",Uttarakhand,,,,,15.0,,,,15 persons died.,"i) Rishikesh-Badrinath national highway,the Rishikesh - Kedarnath National Highway between Sonprayag,Gaurikund, remained cut off. ii) Damage to several bridges across the state reported.",IMD,,"49, 51, 55, None",5
4733,UEI-IMD-FL-2016-0131,21-07-2016 00:00,23-07-2016 00:00,3.0,landslide,,Dehradun,Uttarakhand,,,,,11.0,,,,11 persons died.,,IMD,,49,5
4857,UEI-IMD-FL-2017-0120,20-05-2017 00:00,20-05-2017 00:00,1.0,Landslide,,Chamoli,Uttarakhand,,,,,13.0,,,,13 Char Dham Pilgrims died.,Thousands of Pilgrims stranded,IMD,,47,5
4858,UEI-IMD-FL-2017-0121,13-08-2017 00:00,13-08-2017 00:00,1.0,Landslide,,Pithoragarh,Uttarakhand,,,,,1.0,,2,18,"One person died, 2 others missing & 18 livestock perished.",,IMD,,53,5
4976,UEI-IMD-FL-2018-0116,07-11-2018 00:00,07-11-2018 00:00,1.0,Heavy Rains,,Dehradun,Uttarakhand,,,,,7.0,,,,7 persons died.,,IMD,,49,5
4977,UEI-IMD-FL-2018-0117,30-08-2018 00:00,30-08-2018 00:00,1.0,Landslide,,Tehri Garhwal,Uttarakhand,,,,,6.0,,,,"6 persons died,other injured.",Damage to houses reported,IMD,,55,5
5126,UEI-IMD-FL-2019-0147,06-02-2019 00:00,06-02-2019 00:00,1.0,Flash floods,,"Almora, Chamoli",Uttarakhand,,,,,1.0,,1,,One shepherd died due to flash floods in local Gangani stream from Lam Bagar areas in Mahelchouri of Chamoli Dist. While one person missing from Khira village in Chaukhatiya block of Almora Dist. Some cattle heads washed away from Almora Dist.,"i) Damage to agricultural land reported. ii) Damage to several houses, cowsheds reported. iii) Damage to main roads,local bridges reported. iv) Large-scale destruction in Gangnahar, Lambagad, Ramgaderi, Bisht Bhankhli,Negi Bankhali villages reported. v) The Mahelchouri-Chaukhatiya highway blocked due to the debris.",IMD,,"45, 47",5
5127,UEI-IMD-FL-2019-0148,21-06-2019 00:00,21-06-2019 00:00,1.0,Heavy rains & flash flood as a result of cloud burst,,Uttar Kashi Kashi,Uttarakhand,,,,,1.0,4.0,,,One person died & 4 others injured in Mori market area,i) Damage to houses & shops reported. ii) Several trees uprooted causing blocking of main road for a couple of hours.,IMD,,,5
5128,UEI-IMD-FL-2019-0149,23-06-2019 00:00,23-06-2019 00:00,1.0,Floods in Binnu river,,Garhwal,Uttarakhand,,,,,,,,,"Some cattle heads washed away in Mansari,Kanadi villages in Chauthan Patti area of Thailisain block.","Damage to houses in Mansari,Kanadi villages in Chauthan Patti area of Thailisain block reported.",IMD,,52,5
5129,UEI-IMD-FL-2019-0150,07-04-2019 00:00,07-04-2019 00:00,1.0,Heavy rains,,Rudra Prayag,Uttarakhand,,,,,,,,,,Damage to water pipeline & 40-meter road reported in Sari Chamshil village of Augustmuni block.,IMD,,54,5
